signal_id,experiment,ticker,signal_date,entry_date,graded_at,entry_open,ret_1d_net,ret_nd_net,bench_1d_net,bench_nd_net,excess_1d,excess_nd,win_1d,note
EXP09-NR7-2026-08-07-CVX,EXP09-NR7,CVX,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,188.88,3.0925,7.2168,0.7121,-0.18,2.3804,7.3968,1,
EXP09-NR7-2026-08-07-MSFT,EXP09-NR7,MSFT,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,503.44,0.4204,-4.6864,0.7121,-0.18,-0.2916,-4.5064,1,
EXP09-NR7-2026-08-07-AAPL,EXP09-NR7,AAPL,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,306.83,0.3661,-0.5041,0.7121,-0.18,-0.346,-0.3241,1,
EXP09-NR7-2026-08-07-SCHW,EXP09-NR7,SCHW,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,107.51,0.3465,2.7555,0.7121,-0.18,-0.3656,2.9355,1,
EXP09-NR7-2026-08-07-XOM,EXP09-NR7,XOM,2026-08-07,2026-08-10,2026-08-17T21:21:26+00:00,154.5,3.3239,4.4049,0.7121,-0.18,2.6119,4.5849,1,
EXP09-NR7-2026-08-10-JPM,EXP09-NR7,JPM,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,360.05,0.4527,0.7888,-0.5098,-0.4185,0.9625,1.2072,1,
EXP09-NR7-2026-08-10-AAPL,EXP09-NR7,AAPL,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,307.75,-1.0228,0.6409,-0.5098,-0.4185,-0.513,1.0593,0,
EXP09-NR7-2026-08-10-BLK,EXP09-NR7,BLK,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,1130.65,1.5088,1.9961,-0.5098,-0.4185,2.0186,2.4146,1,
EXP09-NR7-2026-08-10-UNH,EXP09-NR7,UNH,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,409.0,-1.765,-3.7846,-0.5098,-0.4185,-1.2552,-3.3661,0,
EXP09-NR7-2026-08-10-MA,EXP09-NR7,MA,2026-08-10,2026-08-11,2026-08-18T21:18:55+00:00,562.71,-0.3257,1.9614,-0.5098,-0.4185,0.1841,2.3799,0,
EXP09-NR7-2026-08-11-BAC,EXP09-NR7,BAC,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,64.12,0.9761,-1.5816,0.2742,0.7204,0.7019,-2.302,1,
EXP09-NR7-2026-08-11-SCHW,EXP09-NR7,SCHW,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,107.0,2.0869,3.5262,0.2742,0.7204,1.8127,2.8058,1,
EXP09-NR7-2026-08-11-KO,EXP09-NR7,KO,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,85.78,0.9842,5.2276,0.2742,0.7204,0.71,4.5072,1,
EXP09-NR7-2026-08-11-MSFT,EXP09-NR7,MSFT,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,499.99,-1.612,-3.2361,0.2742,0.7204,-1.8862,-3.9565,0,
EXP09-NR7-2026-08-11-V,EXP09-NR7,V,2026-08-11,2026-08-12,2026-08-19T21:20:32+00:00,361.0,-0.5377,1.1576,0.2742,0.7204,-0.8119,0.4372,0,
