signal_id,experiment,captured_at,signal_date,ticker,rank_in_day,meta
EXP07-SMAPULL-2026-08-06-CVX,EXP07-SMAPULL,2026-08-07T11:36:53+00:00,2026-08-06,CVX,1,close=189.23;low_over_sma20=0.9911;sma20=188.6985;sma200=176.1279
EXP07-SMAPULL-2026-08-06-COP,EXP07-SMAPULL,2026-08-07T11:36:53+00:00,2026-08-06,COP,2,close=116.76;low_over_sma20=0.99451;sma20=116.0675;sma200=108.3343
EXP07-SMAPULL-2026-08-06-JNJ,EXP07-SMAPULL,2026-08-07T11:36:53+00:00,2026-08-06,JNJ,3,close=256.98;low_over_sma20=0.99512;sma20=256.5325;sma200=227.7166
EXP07-SMAPULL-2026-08-07-MS,EXP07-SMAPULL,2026-08-10T11:40:22+00:00,2026-08-07,MS,1,close=216.33;low_over_sma20=0.98218;sma20=215.6525;sma200=185.7891
EXP07-SMAPULL-2026-08-07-COP,EXP07-SMAPULL,2026-08-10T11:40:22+00:00,2026-08-07,COP,2,close=117.61;low_over_sma20=0.98621;sma20=116.496;sma200=108.4871
EXP07-SMAPULL-2026-08-07-WFC,EXP07-SMAPULL,2026-08-10T11:40:22+00:00,2026-08-07,WFC,3,close=87.25;low_over_sma20=0.98941;sma20=86.961;sma200=84.8938
EXP07-SMAPULL-2026-08-07-MRK,EXP07-SMAPULL,2026-08-10T11:40:22+00:00,2026-08-07,MRK,4,close=128.58;low_over_sma20=0.99077;sma20=127.8605;sma200=112.6742
EXP07-SMAPULL-2026-08-07-LLY,EXP07-SMAPULL,2026-08-10T11:40:22+00:00,2026-08-07,LLY,5,close=1185.71;low_over_sma20=0.9915;sma20=1171.1555;sma200=1033.3665
EXP07-SMAPULL-2026-08-10-CVX,EXP07-SMAPULL,2026-08-11T11:35:50+00:00,2026-08-10,CVX,1,close=194.91;low_over_sma20=0.99493;sma20=189.842;sma200=176.4939
EXP07-SMAPULL-2026-08-10-WFC,EXP07-SMAPULL,2026-08-11T11:35:50+00:00,2026-08-10,WFC,2,close=87.52;low_over_sma20=0.99559;sma20=86.9535;sma200=84.9076
EXP07-SMAPULL-2026-08-11-V,EXP07-SMAPULL,2026-08-12T11:38:04+00:00,2026-08-11,V,1,close=362.82;low_over_sma20=0.99341;sma20=362.3575;sma200=331.0674
EXP07-SMAPULL-2026-08-11-MS,EXP07-SMAPULL,2026-08-12T11:38:04+00:00,2026-08-11,MS,2,close=215.07;low_over_sma20=0.99434;sma20=214.7345;sma200=186.3543
EXP07-SMAPULL-2026-08-12-AXP,EXP07-SMAPULL,2026-08-13T11:37:41+00:00,2026-08-12,AXP,1,close=344.08;low_over_sma20=0.98593;sma20=343.4005;sma200=339.4794
EXP07-SMAPULL-2026-08-12-JNJ,EXP07-SMAPULL,2026-08-13T11:37:41+00:00,2026-08-12,JNJ,2,close=260.86;low_over_sma20=0.99001;sma20=257.837;sma200=229.0701
EXP07-SMAPULL-2026-08-12-MA,EXP07-SMAPULL,2026-08-13T11:37:41+00:00,2026-08-12,MA,3,close=559.73;low_over_sma20=0.9977;sma20=557.3415;sma200=527.9953
EXP07-SMAPULL-2026-08-12-MRK,EXP07-SMAPULL,2026-08-13T11:37:41+00:00,2026-08-12,MRK,4,close=132.92;low_over_sma20=0.99812;sma20=129.1525;sma200=113.3334
EXP07-SMAPULL-2026-08-13-V,EXP07-SMAPULL,2026-08-14T11:35:30+00:00,2026-08-13,V,1,close=365.45;low_over_sma20=0.98931;sma20=362.587;sma200=331.225
EXP07-SMAPULL-2026-08-13-AXP,EXP07-SMAPULL,2026-08-14T11:35:30+00:00,2026-08-13,AXP,2,close=343.65;low_over_sma20=0.9938;sma20=342.122;sma200=339.3891
EXP07-SMAPULL-2026-08-13-MA,EXP07-SMAPULL,2026-08-14T11:35:30+00:00,2026-08-13,MA,3,close=567.04;low_over_sma20=0.99925;sma20=558.1165;sma200=527.9622
EXP07-SMAPULL-2026-08-14-CAT,EXP07-SMAPULL,2026-08-17T11:15:01+00:00,2026-08-14,CAT,1,close=856.57;low_over_sma20=0.99577;sma20=853.608;sma200=754.3934
EXP07-SMAPULL-2026-08-14-V,EXP07-SMAPULL,2026-08-17T11:15:01+00:00,2026-08-14,V,2,close=364.15;low_over_sma20=0.99971;sma20=362.8665;sma200=331.3067
EXP07-SMAPULL-2026-08-18-V,EXP07-SMAPULL,2026-08-19T11:14:13+00:00,2026-08-18,V,1,close=364.25;low_over_sma20=0.98582;sma20=363.2015;sma200=331.4812
EXP07-SMAPULL-2026-08-18-WFC,EXP07-SMAPULL,2026-08-19T11:14:13+00:00,2026-08-18,WFC,2,close=87.4;low_over_sma20=0.99549;sma20=87.2435;sma200=84.9755
EXP07-SMAPULL-2026-08-18-ABBV,EXP07-SMAPULL,2026-08-19T11:14:13+00:00,2026-08-18,ABBV,3,close=258.92;low_over_sma20=0.9999;sma20=252.4355;sma200=225.7669
