signal_id,experiment,captured_at,signal_date,ticker,rank_in_day,meta
EXP03-MACD-2026-07-31-AMZN,EXP03-MACD,2026-08-01T21:23:50+00:00,2026-07-31,AMZN,1,close=271.58;macd_hist=1.21254;macd_hist_prev=-1.49552;sma200=235.0122
EXP03-MACD-2026-07-31-GOOGL,EXP03-MACD,2026-08-01T21:23:50+00:00,2026-07-31,GOOGL,2,close=356.13;macd_hist=0.48242;macd_hist_prev=-1.41718;sma200=326.2726
EXP03-MACD-2026-08-03-SCHW,EXP03-MACD,2026-08-03T13:58:54+00:00,2026-08-03,SCHW,1,close=106.47;macd_hist=0.0396;macd_hist_prev=-0.02144;sma200=95.6238
EXP03-MACD-2026-08-04-NVDA,EXP03-MACD,2026-08-05T12:31:16+00:00,2026-08-04,NVDA,1,close=211.94;macd_hist=0.52118;macd_hist_prev=-0.27256;sma200=193.406
EXP03-MACD-2026-08-04-V,EXP03-MACD,2026-08-05T12:31:16+00:00,2026-08-04,V,2,close=369.59;macd_hist=0.05842;macd_hist_prev=-0.03669;sma200=330.5105
EXP03-MACD-2026-08-05-JPM,EXP03-MACD,2026-08-06T12:49:24+00:00,2026-08-05,JPM,1,close=359.24;macd_hist=0.08748;macd_hist_prev=-0.10166;sma200=312.6682
EXP03-MACD-2026-08-05-WFC,EXP03-MACD,2026-08-06T12:49:24+00:00,2026-08-05,WFC,2,close=89.17;macd_hist=0.03588;macd_hist_prev=-0.09208;sma200=84.8661
EXP03-MACD-2026-08-06-CAT,EXP03-MACD,2026-08-07T11:36:52+00:00,2026-08-06,CAT,1,close=856.96;macd_hist=1.14172;macd_hist_prev=-0.30455;sma200=744.6441
EXP03-MACD-2026-08-07-MS,EXP03-MACD,2026-08-10T11:40:22+00:00,2026-08-07,MS,1,close=216.33;macd_hist=0.08682;macd_hist_prev=-0.10874;sma200=185.7891
EXP03-MACD-2026-08-10-LLY,EXP03-MACD,2026-08-11T11:35:50+00:00,2026-08-10,LLY,1,close=1231.9399;macd_hist=1.61166;macd_hist_prev=-2.65153;sma200=1035.5283
EXP03-MACD-2026-08-10-COP,EXP03-MACD,2026-08-11T11:35:50+00:00,2026-08-10,COP,2,close=123.03;macd_hist=0.22297;macd_hist_prev=-0.09329;sma200=108.6702
EXP03-MACD-2026-08-10-XOM,EXP03-MACD,2026-08-11T11:35:50+00:00,2026-08-10,XOM,3,close=159.79;macd_hist=0.08391;macd_hist_prev=-0.22007;sma200=140.436
EXP03-MACD-2026-08-11-JPM,EXP03-MACD,2026-08-12T11:38:04+00:00,2026-08-11,JPM,1,close=362.04;macd_hist=0.04034;macd_hist_prev=-0.07271;sma200=313.8909
EXP03-MACD-2026-08-11-CVX,EXP03-MACD,2026-08-12T11:38:04+00:00,2026-08-11,CVX,2,close=196.66;macd_hist=0.01294;macd_hist_prev=-0.3094;sma200=176.6994
EXP03-MACD-2026-08-12-BAC,EXP03-MACD,2026-08-13T11:37:41+00:00,2026-08-12,BAC,1,close=64.81;macd_hist=0.04678;macd_hist_prev=-0.00521;sma200=54.0507
EXP03-MACD-2026-08-13-MRK,EXP03-MACD,2026-08-14T11:35:30+00:00,2026-08-13,MRK,1,close=135.55;macd_hist=0.26481;macd_hist_prev=-0.0082;sma200=113.5737
