pick_id,ticker,trading_date,captured_at,cik,dilution_flag,catalyst_type,recent_dilution_form,recent_dilution_date,recent_8k_date,quality_overall,quality_label,quality_classification,q_financial,q_business,q_management,q_valuation,q_risk,q_momentum,q_governance,snapshot_note
fd1ad596-935a-4cb0-b77d-549ead319383,JAGX,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001585608,shelf,8K,424B3,2025-11-25,2026-06-25,49,Yellow,Speculative,31,70,54,45,54,50,40,
88cc0b42-82e5-418a-a5ea-5f7ca94dd913,BJDX,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001704287,offering,offering,424B3,2026-06-26,2026-06-09,45,Yellow,Too Hard,35,27,50,45,72,50,70,
dde76207-ff7f-408b-b789-bb7f725cc725,SVRN,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001869467,shelf,none,F-3,2025-11-26,,53,Yellow,Speculative,46,33,67,45,80,50,70,
8735e7c6-4e8b-467c-9c25-366f3c125186,MASK,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001993097,shelf,filing,F-1,2026-06-25,,66,Green,Investable,65,77,54,45,100,50,40,
6b1e34da-8c35-4e7a-b68f-b4ff5c6f8637,GCDT,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001926293,offering,none,424B4,2026-01-13,,,,,,,,,,,,quality:no annual revenue filed on/before 2026-0
1b469e63-6b4d-4d2d-8826-4612bae5e9ee,CUPR,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001995704,none,none,424B4,2025-04-10,,50,Yellow,Too Hard,49,22,51,53,80,50,70,
e2ddfa11-1def-465a-9955-7052897228cf,SUGP,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001969863,offering,offering,424B3,2026-06-22,,50,Yellow,Speculative,50,33,50,45,72,50,70,
b17d1e06-aae6-493d-be69-7392c3bc5664,VMAR,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001813783,offering,filing,424B5,2026-01-23,,,,,,,,,,,,quality:no annual revenue filed on/before 2026-0
d9d1ee1f-e932-4224-8ed9-d9f7d590ee2f,IOTR,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001997637,none,none,424B4,2025-04-10,,52,Yellow,Speculative,56,28,54,53,80,50,40,
2ba82bc5-147b-4359-bb51-be8447872724,ATPC,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001713210,shelf,none,S-1,2026-06-08,2026-03-12,48,Yellow,Speculative,37,44,54,45,62,50,70,
31a3ac37-15e8-4116-aa39-9459378b805d,BNZI,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001826011,offering,none,S-1,2026-06-05,2026-05-18,46,Yellow,Speculative,38,45,50,45,46,50,70,
761e0211-97bb-4aec-9404-b72d781c44ba,RKDA,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001469443,offering,filing,S-3,2026-06-26,2026-06-15,40,Black,Speculative,31,50,37,45,37,50,40,
22684c6e-567d-4dac-abe9-a5541a88fd0a,NCT,2026-06-29,2026-06-29T12:52:13.744998+00:00,0002018529,offering,none,F-1/A,2026-06-18,,64,Green,Investable,69,62,54,53,92,50,40,
f20bfbdc-0760-4167-996e-426379a12c97,CODX,2026-06-29,2026-06-29T12:52:13.744998+00:00,0001692415,shelf,none,S-3,2026-05-28,2026-05-21,45,Yellow,Too Hard,32,43,50,45,54,50,70,
83666478-8dc0-4b55-9304-6b37623940a2,BJDX,2026-06-30,2026-06-30T12:16:04.939208+00:00,0001704287,offering,offering,424B3,2026-06-26,2026-06-09,45,Yellow,Too Hard,35,27,50,45,72,50,70,
